Source,Target,Value,Units,Table ID
Electricity,All Other Basic Inorganic Chemical Manufacturing,24.8,Petajoules,id_ca_e_40
Natural Gas,All Other Basic Inorganic Chemical Manufacturing,6.7,Petajoules,id_ca_e_40
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",All Other Basic Inorganic Chemical Manufacturing,,Petajoules,id_ca_e_40
Heavy Fuel Oil,All Other Basic Inorganic Chemical Manufacturing,,Petajoules,id_ca_e_40
Still Gas and Petroleum Coke,All Other Basic Inorganic Chemical Manufacturing,0.0,Petajoules,id_ca_e_40
LPG and Gas Plant NGL,All Other Basic Inorganic Chemical Manufacturing,0.0,Petajoules,id_ca_e_40
Coal,All Other Basic Inorganic Chemical Manufacturing,0.0,Petajoules,id_ca_e_40
Coke and Coke Oven Gas,All Other Basic Inorganic Chemical Manufacturing,0.0,Petajoules,id_ca_e_40
Wood Waste and Pulping Liquor,All Other Basic Inorganic Chemical Manufacturing,0.0,Petajoules,id_ca_e_40
Other1,All Other Basic Inorganic Chemical Manufacturing,,Petajoules,id_ca_e_40
Electricity,Chemical Fertilizer (except Potash) Manufacturing,6.5,Petajoules,id_ca_e_41
Natural Gas,Chemical Fertilizer (except Potash) Manufacturing,,Petajoules,id_ca_e_41
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Chemical Fertilizer (except Potash) Manufacturing,,Petajoules,id_ca_e_41
Heavy Fuel Oil,Chemical Fertilizer (except Potash) Manufacturing,,Petajoules,id_ca_e_41
Still Gas and Petroleum Coke,Chemical Fertilizer (except Potash) Manufacturing,0.0,Petajoules,id_ca_e_41
LPG and Gas Plant NGL,Chemical Fertilizer (except Potash) Manufacturing,0.0,Petajoules,id_ca_e_41
Coal,Chemical Fertilizer (except Potash) Manufacturing,0.0,Petajoules,id_ca_e_41
Coke and Coke Oven Gas,Chemical Fertilizer (except Potash) Manufacturing,0.0,Petajoules,id_ca_e_41
Wood Waste and Pulping Liquor,Chemical Fertilizer (except Potash) Manufacturing,0.0,Petajoules,id_ca_e_41
Other1,Chemical Fertilizer (except Potash) Manufacturing,,Petajoules,id_ca_e_41
Electricity,Other Chemical Manufacturing,17.4,Petajoules,id_ca_e_42
Natural Gas,Other Chemical Manufacturing,57.1,Petajoules,id_ca_e_42
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Other Chemical Manufacturing,0.2,Petajoules,id_ca_e_42
